category,sport,image,resolution,ordering,tags,series
basketball,ncaab,https://polymarket-upload.s3.us-east-2.amazonaws.com/marchmadness.jpeg,https://www.ncaa.com/march-madness-live/bracket,home,"1,100149,100639",39
soccer,epl,https://polymarket-upload.s3.us-east-2.amazonaws.com/Repetitive-markets/premier+league.jpg,https://www.premierleague.com/,home,"1,82,306,100639,100350",10188
soccer,lal,https://polymarket-upload.s3.us-east-2.amazonaws.com/league-lal.png,https://www.laliga.com/en-GB,home,"1,780,100639,100350",10193
unknown,acn,https://polymarket-upload.s3.us-east-2.amazonaws.com/africa-cup-of-nation-08aa04d2e1.png,https://www.cafonline.com/caf-africa-cup-of-nations/,home,"1,102974",10786
cricket,ipl,https://polymarket-upload.s3.us-east-2.amazonaws.com/ipl-logo-mWgZFOEQvE23.jpg,https://www.iplt20.com/,home,"1,101977,100639,517,518",44
basketball,wnba,https://polymarket-upload.s3.us-east-2.amazonaws.com/wnba-logo-PAR4befDAubM.png,https://www.wnba.com/,away,"1,100639,100254",10105
soccer,bun,https://polymarket-upload.s3.us-east-2.amazonaws.com/league-bun.jpg,https://www.bundesliga.com/en/bundesliga,home,"1,1494,100639,100350",10194
baseball,mlb,https://polymarket-upload.s3.us-east-2.amazonaws.com/Repetitive-markets/MLB.jpg,https://www.mlb.com/,away,"1,100639,100381",3
american_football,cfb,https://polymarket-upload.s3.us-east-2.amazonaws.com/espn+college+football+logo.png,https://www.ncaa.com/,away,"1,100351,100639",10210
american_football,nfl,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,https://www.nfl.com/,away,"1,450,100639",10187
soccer,fl1,https://polymarket-upload.s3.us-east-2.amazonaws.com/league-fl1.png,https://ligue1.com/en,home,"1,100639,102070,100350",10195
soccer,sea,https://polymarket-upload.s3.us-east-2.amazonaws.com/Serie-A-Logo.png,https://www.legaseriea.it/en,home,"1,100639,101962,100350",10203
soccer,ucl,https://polymarket-upload.s3.us-east-2.amazonaws.com/champions-league-pic-QIUFsL8vaDdq.png,https://www.uefa.com/uefachampionsleague/,home,"1,100977,100639,1234,100350",10204
soccer,afc,https://polymarket-upload.s3.us-east-2.amazonaws.com/afc.png,https://www.the-afc.com/en/home.html,home,"1,100639,100350,101680",10241
soccer,ofc,https://polymarket-upload.s3.us-east-2.amazonaws.com/ofc.png,https://www.oceaniafootball.com/,home,"1,100639,100350,102566",10294
soccer,fif,https://polymarket-upload.s3.us-east-2.amazonaws.com/fif.png,https://www.fifa.com/en,home,"1,100639,100350,102539",10238
soccer,ere,https://polymarket-upload.s3.us-east-2.amazonaws.com/ere.png,https://eredivisie.eu/competition/,home,"1,100639,100350,101735",10286
soccer,arg,https://polymarket-upload.s3.us-east-2.amazonaws.com/arg.png,https://www.afa.com.ar/,home,"1,100639,100350,102561",10285
soccer,itc,https://polymarket-upload.s3.us-east-2.amazonaws.com/itc.png,https://www.legaseriea.it/en/coppa-italia,home,"1,100639,100350,102008",10287
soccer,mex,https://polymarket-upload.s3.us-east-2.amazonaws.com/mex.png,https://www.ligamx.net/,home,"1,100639,100350,102448",10290
soccer,lcs,https://polymarket-upload.s3.us-east-2.amazonaws.com/lcs.png,https://www.leaguescup.com/,home,"1,100639,100350,102449",10288
soccer,lib,https://polymarket-upload.s3.us-east-2.amazonaws.com/lib.png,https://conmebollibertadores.com/,home,"1,100639,100350,102562",10289
soccer,sud,https://polymarket-upload.s3.us-east-2.amazonaws.com/sud.png,https://conmebolsudamericana.com/,home,"1,100639,100350,102563",10291
soccer,tur,https://polymarket-upload.s3.us-east-2.amazonaws.com/tur.png,https://tff.org/,home,"1,100639,100350,102564",10292
soccer,con,https://polymarket-upload.s3.us-east-2.amazonaws.com/con.png,https://www.conmebol.com/,home,"1,100639,100350,100787",10246
soccer,cof,https://polymarket-upload.s3.us-east-2.amazonaws.com/cof.png,https://www.concacaf.com/,home,"1,100639,100350,101280",10244
soccer,uef,https://polymarket-upload.s3.us-east-2.amazonaws.com/uef.png,https://www.uefa.com/,home,"1,100639,100350,102544",10243
soccer,caf,https://polymarket-upload.s3.us-east-2.amazonaws.com/caf.png,https://www.cafonline.com/,home,"1,100639,100350,102540",10240
soccer,rus,https://polymarket-upload.s3.us-east-2.amazonaws.com/rus.png,https://premierliga.ru,home,"1,100639,100350,102593",10306
soccer,efa,https://polymarket-upload.s3.us-east-2.amazonaws.com/efa.png,https://www.thefa.com/competitions/thefacup,home,"1,100639,100350,102594",10307
soccer,efl,https://polymarket-upload.s3.us-east-2.amazonaws.com/efl.png,https://www.efl.com/,home,"1,100639,100350,102595",10230
basketball,nba,https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png,https://www.nba.com/,away,"1,745,100639",10345
ice_hockey,nhl,https://polymarket-upload.s3.us-east-2.amazonaws.com/nhl.png,https://www.nhl.com/,away,"1,899,100639",10346
soccer,uel,https://polymarket-upload.s3.us-east-2.amazonaws.com/uel.png,https://www.uefa.com/uefaeuropaleague/,home,"1,100639,101787,100350",10209
esports,dota2,https://polymarket-upload.s3.us-east-2.amazonaws.com/dota-2-iamge-e93dd0923f.png,https://www.liquipedia.net/dota2/Main_Page,home,"1,64,102366,100639",10309
esports,lol,https://polymarket-upload.s3.us-east-2.amazonaws.com/league-of-legends-61a4f083a6.png,https://liquipedia.net/leagueoflegends/Main_Page,home,"1,64,65,100639",10311
cricket,odi,https://polymarket-upload.s3.us-east-2.amazonaws.com/icc-2a6f105be7.jpg,https://www.icc-cricket.com/fixtures-results,home,"1,517,100639,102815",10451
cricket,t20,https://polymarket-upload.s3.us-east-2.amazonaws.com/icc-2a6f105be7.jpg,https://www.icc-cricket.com/fixtures-results,home,"1,517,100639,102810",10445
cricket,abb,https://polymarket-upload.s3.us-east-2.amazonaws.com/big-bash-league-f223934dac.png,https://www.bigbash.com.au/matches,home,"1,517,100639,102813",10449
cricket,csa,https://polymarket-upload.s3.us-east-2.amazonaws.com/cricket-south-africa-81c78b071d.png,https://www.icc-cricket.com/fixtures-results,home,"1,517,100639,102808",10446
tennis,atp,https://polymarket-upload.s3.us-east-2.amazonaws.com/atp-tour-b4390c4fb8.jpg,https://www.atptour.com/en/scores/current,home,"1,864,100639,101232",10365
tennis,wta,https://polymarket-upload.s3.us-east-2.amazonaws.com/wta-logo-41f331bdf1.png,https://www.wtatennis.com/scores,home,"1,864,100639,102123",10366
soccer,mls,https://polymarket-upload.s3.us-east-2.amazonaws.com/soccer-ball-d7941ac797.jpg,https://www.mls.com/,home,"1,100639,100350,100100",10189
esports,val,https://polymarket-upload.s3.us-east-2.amazonaws.com/valorant-logo-6fab741a16.png,https://liquipedia.net/valorant/Main_Page,home,"1,64,101672,100639",10369
esports,cs2,https://polymarket-upload.s3.us-east-2.amazonaws.com/counter-strike-image-16c415c538.png,https://hltv.org,home,"1,64,100780,100639",10310
basketball,cwbb,https://polymarket-upload.s3.us-east-2.amazonaws.com/ncaa-c14995df96.png,https://www.ncaa.com/sports/basketball-women/d1,home,"1,28,100639,102003",10471
mma,mma,https://polymarket-upload.s3.us-east-2.amazonaws.com/ufc.png,https://www.ufc.com/,home,"1,100639",10500
soccer,cdr,https://polymarket-upload.s3.us-east-2.amazonaws.com/copa-del-ray-c8d5e1b076.png,https://www.laliga.com/en-GB/copa-del-rey,home,"1,100639,100350,101783",10316
esports,mlbb,https://polymarket-upload.s3.us-east-2.amazonaws.com/mlbb-3bb0ab78e7.jpg,https://liquipedia.net/mobilelegends/Main_Page,home,"1,64,102750,100639",10426
esports,ow,https://polymarket-upload.s3.us-east-2.amazonaws.com/overwatch-16b28332a4.jpg,https://liquipedia.net/overwatch/Main_Page,home,"1,64,102753,100639",10430
esports,codmw,https://polymarket-upload.s3.us-east-2.amazonaws.com/call-of-duty-208ecf2953.png,https://liquipedia.net/callofduty/Main_Page,home,"1,64,100230,100639",10427
esports,fifa,https://polymarket-upload.s3.us-east-2.amazonaws.com/EA-fifa-afad164704.jpg,https://liquipedia.net/easportsfc/Main_Page,home,"1,64,102751,100639",10428
esports,pubg,https://polymarket-upload.s3.us-east-2.amazonaws.com/PUBG-13352fbd7d.jpg,https://liquipedia.net/pubg/Main_Page,home,"1,64,102754,100639",10431
esports,r6siege,https://polymarket-upload.s3.us-east-2.amazonaws.com/rainbow-6-siege-049a0d8344.jpg,https://liquipedia.net/rainbowsix/Main_Page,home,"1,64,102755,100639",10432
esports,rl,https://polymarket-upload.s3.us-east-2.amazonaws.com/rocket-league-0c26a313e4.jpg,https://liquipedia.net/rocketleague/Main_Page,home,"1,64,102756,100639",10433
soccer,col,https://polymarket-upload.s3.us-east-2.amazonaws.com/uefa-conference-league-798904aed0.png,https://www.uefa.com/uefaconferenceleague/,home,"1,100639,100350,102763",10437
soccer,cde,https://polymarket-upload.s3.us-east-2.amazonaws.com/coupe-france-soccer-6cf56ac790.png,https://www.fff.fr/competitions/coupe-de-france/,home,"1,100639,100350,102604",10315
soccer,dfb,https://polymarket-upload.s3.us-east-2.amazonaws.com/DFB-Pokal-ebed3c1834.png,https://www.dfb.de/dfb-pokal/,home,"1,100639,100350,102154",10317
soccer,bra,https://polymarket-upload.s3.us-east-2.amazonaws.com/brasilerirao-image-52ef283574.png,https://www.cbf.com.br/,home,"1,100639,100350,102648",10359
soccer,jap,https://polymarket-upload.s3.us-east-2.amazonaws.com/japan-league-a40db9c2f9.png,https://www.jleague.jp/,home,"1,100639,100350,102649",10360
soccer,ja2,https://polymarket-upload.s3.us-east-2.amazonaws.com/japan-j2-leauge-69530d7b40.png,https://www.jleague.jp/,home,"1,100639,100350,102770",10443
soccer,kor,https://polymarket-upload.s3.us-east-2.amazonaws.com/k-league-87b53492f4.png,https://www.kleague.com/,home,"1,100639,100350,102771",10444
soccer,spl,https://polymarket-upload.s3.us-east-2.amazonaws.com/saudi-league-0eb74ab5b8.png,https://www.spl.com.sa/,home,"1,100639,100350,102650",10361
soccer,chi,https://polymarket-upload.s3.us-east-2.amazonaws.com/chinese-super-league-39d902bcb6.png,https://www.cfa.com.cn/,home,"1,100639,100350,102764",10439
soccer,aus,https://polymarket-upload.s3.us-east-2.amazonaws.com/a-league-6595bd3047.jpg,https://www.aleague.com.au/,home,"1,100639,100350,102765",10438
soccer,ind,https://polymarket-upload.s3.us-east-2.amazonaws.com/indian-super-league-726b3b2df4.png,https://www.indiansuperleague.com/,home,"1,100639,100350,102653",10364
soccer,nor,https://polymarket-upload.s3.us-east-2.amazonaws.com/norwegian-elite-2078e62a98.jpg,https://www.eliteserien.no/,home,"1,100639,100350,102651",10362
soccer,den,https://polymarket-upload.s3.us-east-2.amazonaws.com/superliga-b28b8e3c7c.png,https://www.superliga.dk/,home,"1,100639,100350,102652",10363
soccer,por,https://polymarket-upload.s3.us-east-2.amazonaws.com/liga-portugal-18a39e1e8d.png,https://www.ligaportugal.pt/,home,"1,100639,100350,101772",10330
cricket,test,https://polymarket-upload.s3.us-east-2.amazonaws.com/icc-world-test-a3388b385f.jpg,https://www.icc-cricket.com/fixtures-results,home,"1,517,100639,102842",10661
cricket,she,https://polymarket-upload.s3.us-east-2.amazonaws.com/cricket-sheffield-shield-7aba596ab9.png,https://www.cricket.com.au/matches,home,"1,517,100639,102817",10453
cricket,sasa,https://polymarket-upload.s3.us-east-2.amazonaws.com/cricket-sa-twenty-e736ea9c36.jpg,https://www.icc-cricket.com/fixtures-results,home,"1,517,100639,102814",10450
cricket,lpl,https://polymarket-upload.s3.us-east-2.amazonaws.com/cricket-lanka-premier-league-a0813e2f20.png,https://www.icc-cricket.com/fixtures-results,home,"1,517,100639,102812",10448
cricket,psp,https://polymarket-upload.s3.us-east-2.amazonaws.com/cricket-pakistan-tri-series.png,https://www.icc-cricket.com/fixtures-results,home,"1,517,100639,102811",10447
baseball,kbo,https://polymarket-upload.s3.us-east-2.amazonaws.com/kbo-8cac2c2a6e.png,https://www.koreabaseball.com/,away,"1,100639,678,102668",10370
ice_hockey,shl,https://polymarket-upload.s3.us-east-2.amazonaws.com/hockey-shl-5ebf2bfd88.png,https://www.eliteprospects.com/league/shl,home,"1,899,100088,102906",10695
ice_hockey,cehl,https://polymarket-upload.s3.us-east-2.amazonaws.com/hockey-cehl-224d6e08ff.png,https://www.hokej.cz/tipsport-extraliga,home,"1,100639,100088,102910",10702
ice_hockey,dehl,https://polymarket-upload.s3.us-east-2.amazonaws.com/hockey-dehl-c1841cef09.png,https://www.penny-del.org/en/del/schedule-and-results.html,home,"1,100639,100088,102909",10701
ice_hockey,snhl,https://polymarket-upload.s3.us-east-2.amazonaws.com/hockey-snhl-b92d9c89b1.png,https://www.nationalleague.ch/,home,"1,100639,100088,100642",102911
ice_hockey,khl,https://polymarket-upload.s3.us-east-2.amazonaws.com/hockey-khl-a7c05698f3.png,https://en.khl.ru/calendar/,home,"1,100639,100088,102908",10700
ice_hockey,ahl,https://polymarket-upload.s3.us-east-2.amazonaws.com/hockey-ahl-08180d2ef0.png,https://theahl.com/stats/schedule,away,"1,100639,100088,102907",10699
cricket,crint,https://polymarket-upload.s3.us-east-2.amazonaws.com/cricket-ball-a0b0bf2dc9.png,https://www.icc-cricket.com/,home,"1,100639,517,102803",10528
basketball,cbb,https://polymarket-upload.s3.us-east-2.amazonaws.com/ncaab1.png,https://www.ncaa.com/,away,"1,101178,100639,101954",10470
cricket,craus,https://polymarket-upload.s3.us-east-2.amazonaws.com/cricket-ball-a0b0bf2dc9.png,https://www.icc-cricket.com/,home,"1,100639,517,102946",10752
cricket,creng,https://polymarket-upload.s3.us-east-2.amazonaws.com/cricket-ball-a0b0bf2dc9.png,https://www.icc-cricket.com/,home,"1,100639,517,102944",10750
cricket,crnew,https://polymarket-upload.s3.us-east-2.amazonaws.com/cricket-ball-a0b0bf2dc9.png,https://www.icc-cricket.com/,home,"1,100639,517,102949",10755
cricket,crind,https://polymarket-upload.s3.us-east-2.amazonaws.com/cricket-ball-a0b0bf2dc9.png,https://www.icc-cricket.com/,home,"1,100639,517,102943",10748
cricket,crsou,https://polymarket-upload.s3.us-east-2.amazonaws.com/cricket-ball-a0b0bf2dc9.png,https://www.icc-cricket.com/,home,"1,100639,517,102947",10753
cricket,crpak,https://polymarket-upload.s3.us-east-2.amazonaws.com/cricket-ball-a0b0bf2dc9.png,https://www.icc-cricket.com/,home,"1,100639,517,102945",10751
cricket,cruae,https://polymarket-upload.s3.us-east-2.amazonaws.com/cricket-ball-a0b0bf2dc9.png,https://www.icc-cricket.com/,home,"1,100639,517,102948",10754
esports,hok,https://polymarket-upload.s3.us-east-2.amazonaws.com/honor-of-kings-fb99edf26f.jpg,https://liquipedia.net/honorofkings/Main_Page,home,"1,64,102757,100639",10434
esports,wildrift,https://polymarket-upload.s3.us-east-2.amazonaws.com/lol-wild-rift-3d35201677.jpg,https://liquipedia.net/wildrift/Main_Page,home,"1,64,102752,100639",10429
esports,sc2,https://polymarket-upload.s3.us-east-2.amazonaws.com/sc2-da9943f1dd.jpg,https://liquipedia.net/starcraft2/Main_Page,home,"1,64,102758,100639",10435
esports,sc,https://polymarket-upload.s3.us-east-2.amazonaws.com/sc2-bw-35ef47117d.jpg,https://liquipedia.net/starcraft/Main_Page,home,"1,64,102759,100639",10436
